Company Name,Experience With SBIR Program
"Polychromix, Inc.",2
Adaptive Communications Research Inc.,2
Adaptive Computation LLC,2
Psylotech LLC,2
"Adaptive Computer Systems,",2
Poly Adaptive LLC,2
"POLLUTION CONTROL TECHNOLOGIES, LLC",2
Pollard Road Inc.,2
"yomdle, Inc.",2
"YODER, INC.",2
"Polgenix, Inc",2
Adaptive Research Corp.,2
"Adaptive Robotics, Inc.",2
Yodel Labs Inc,2
Yocum-mccoll Testing,2
"Adaptive Surface Technologies, Inc.",2
"Adaptive Systems, LLC",2
"PTSE, Inc.",2
YUMA THERAPEUTICS CORPORAITON,2
"YumaWorks, Inc.",2
"YUMETECH, INC.",2
PolyTherm Corp.,2
"Porter Scientific, Inc.",2
"Active Impulse Sys, Inc.",2
"Active Life Scientific, Inc.",2
"Active Parallel Instrumentation, Inc",2
PSEUDONOISE COMMUNICATIONS,2
Active Technologies Inc.,2
Active Therapy Systems LLC,2
Zachary Apte Dba Evolvemol,2
PSIBER DATA SYSTEMS INC.,2
Actively Learn Inc.,2
"POMIAN &amp; CORELLA, LLC",2
Polyvascular Corp,2
PSQUAREDT LLC,2
Polystor Corp,2
"YY Labs, Inc.",2
"PolySpectra, Inc.",2
"Activsignal, LLC.",2
"POLYSHOK, INC.",2
Acton Research Corp.,2
Polyradiant,2
"Polyprobe, Inc.",2
Actovos LLC,2
POLYNOVA CARDIOVASCULAR INC,2
"Z-Quick, LLC",2
Actuarial Forecasting And,2
"ACUCELA, INC.",2
Acumen Engineering And,2
Psychiatric Assessment Systems,2
"Adaptive Technology Consulting, LLC",2
Polaris Research,2
"PLASMABILITY, LLC",2
"Adaptive Testing Technologies, Inc.",2
Pulse Technology Inc.,2
"PLEXXIKON, INC.",2
PLEXUS VACCINE,2
ADOLF MELLER COMPANY,2
PLEXON INC,2
Yates Electrospace Corporation,2
PLETHLOGIC,2
"AdSem, Inc.",2
"PLAYPOSIT, INC.",2
"PLAYGROUND CLEARING HOUSE, USA",2
Play Works Studio,2
Pulvinar Neuro LLC,2
PLATINUM NETWORK,2
"Pumpkin, Inc.",2
AdTech Optics Inc.,2
"Platejoy, Inc.",2
Adv. Engineering And Research,2
ADVAC LLC,2
ADVALUE TECHNOLOGY LLC,2
"Advance, Inc.",2
Advanced &amp; Innovative Multifunctional Materials LLC,2
"Yanhai Power Technology, LLC",2
Yanhai Power LLC,2
PLASMATRONICS,2
"Purafide, LLC",2
"Yan Engines, LLC",2
"Advanced Analyzer Labs, Inc. ",2
Yamada Science &amp; Art Corporation,2
"Plasmacord, LLC",2
"Pulse Systems, Inc.",2
"YAUPON Wellness Company, Inc",2
"Pulse Radar, Inc.",2
Addmaster Corp.,2
"POLAREAN, INC.",2
Public Health Information,2
Polar Spring Corp.,2
Public Health Resource Group,2
YMB Software Associates,2
"Adaptronics, Inc.",2
"Adaptrum, Inc.",2
"Polar Clean, L.L.C.",2
"ADAS, LLC",2
Ylyk Ltd,2
"POINTIVO, INC.",2
"Point Vista Software, LLC",2
"Additive Engineering Solutions, LLC",2
ADDX CORPORATION,2
"YB NUMERICS, INC.",2
Ade Corp.,2
"ADELOS, INC",2
Pulmonary Diag-reh Med Grp Inc,2
Yellow Springs Optical Sensor,2
ADESTO TECHNOLOGIES,2
"PMI, INC.",2
PULSAR COMMUNICATION SYSTEMS,2
"Plymouth Grating Laboratory, Inc.",2
"ADIABATICS, INC.",2
Adient Medical Inc.,2
Ybarrondo &amp; Associates,2
"Plumeria Therapeutics, Inc.",2
Adirondack Analytics,2
ORGANIZATIONAL STRATEGIES INC,2
"RADIX BIOSOLUTIONS, LTD",2
"ORGANIX, INC.",2
"Atomic Precision Systems, Inc.",2
Atlantic Corporation,2
NEXTWATT LLC,2
"NEXTSTEP ROBOTICS, INC.",2
Atlantic Microsystems Inc.,2
"ATLANTIC PHARMACEUTICALS, INC.",2
Rensselaer Inc.ubator Center,2
"Visual Composites, Llc",2
"Repela Tech, LLC",2
ATLAS AI P.B.C.,2
NextGen Balancing Technologies Ltd. Co.,2
Atlas Data Systems,2
"ATLAS DEVICES, LLC ",2
NEXTECH SOLUTIONS LLC,2
REPLICUS SOFTWARE CORP.,2
"NEXTDROID, INC",2
"NEXTCAT, INC.",2
NEXTBIO,2
"NEXT WAVE SYSTEMS, LLC",2
"REPRODUCTIVE RESEARCH TECHNOLOGIES, L P",2
"Reproductive Stress; Measurement, Mechanisms and Management, Corp.",2
Next Frontier LLC,2
Atmospheric Health Sciences,2
ATMOSPHERIC TECHNOLOGY SERVICES CO. LLC,2
VISTACENT LLC,2
"REPROGENETICS, INC.",2
"Atolytics, Inc.",2
Atom Bioworks Inc,2
Atom Computing Inc.,2
AtomBeam Technologies Inc.,2
"Nexus Applied Research, Inc.",2
"ATLANTIC COAST TECHNOLOGIES, INC.",2
"Neya Systems, LLC (formerly Rhobotika, LLC)",2
"Visualyze Technologies, Inc.",2
"VITAL ART AND SCIENCE, INC.",2
"VITAL ACCESS, INC.",2
"ATACAMA, Inc.",2
NIL,2
Atantares Corp,2
NightWare Incorporated,2
"Renerva, LLC",2
"ReNetX Bio, Inc.",2
ReNeuroGen LLC,2
"Night Crew Labs, LLC",2
"Nienhaus &amp; Associates, Inc.",2
"Nido Surgical, Inc",2
"Renewable Algal Energy, Llc",2
VisualMetrics Corporation,2
Renova Life Inc.,2
VISUAL SHAREPOINT,2
"Niall Enterprises, Inc.",2
"Atheraxon, Inc.",2
"Visual Resources, Inc.",2
"Atherton Quantum Insight, LLC",2
NHU ENERGY INC,2
NGS Detectors LLC,2
Athtec Systems,2
Visual Performance LLC,2
NGCODEC INC.,2
Atlanta Signal Processors Inc.,2
Renka Corporation,2
Atlantia Energy Corp.,2
"Atometric, Inc.",2
ATOMNAUT INC.,2
"NIMBLEDROID, INC.",2
"NexGen Arrays, LLC",2
New Renaissance Institute,2
New Ortho Polymers,2
Research &amp; Technology Corp,2
Research 2000 Inc.,2
New Methods Research Inc,2
"RESEARCH AND MANAGEMENT SYSTEMS, INC.",2
Research And Manufacturing Co,2
New Life Health Products Corp.,2
VISITREND,2
"VISITECH, LTD.",2
"AUGER COMMUNICATION, INC.",2
Research Applications Inc,2
Augmentir Inc.,2
New Hampshire Material Laborat,2
"AUGUST RESEARCH SYSTEMS, INCORPORATED",2
NEW GENERATION MOTORS CORP.,2
August Systems Inc,2
Augustine Engineering,2
Visionize LLC,2
"Aura Intelligent Systems, Inc.",2
"New England Research &amp; Development, LLC",2
"New England Discovery Partners, LLC ",2
"NEW ENGLAND ANALYTICS, LLC",2
New Echota Biotechnology,2
"AURAZYME PHARMACEUTICALS, INC.",2
"AURISTOR, INC.",2
New Dominion Enterprises Inc.,2
Vision Sciences,2
"New Dawn Labs, LLC",2
Audological Engineering Corp,2
"VISONEX, LLC",2
New Sage,2
NEWLANS,2
"NexEos Diagnostics, Inc",2
Vista Partners LLC,2
"Attivo Networks, Inc.",2
"Atto Instruments, Inc.",2
Newton Energy Group LLC,2
"ATTOGEN, INC",2
"REQUISITE BIOMEDICAL, LLC",2
Newport Instruments,2
"Vista Computational Technology, Llc",2
"NEWPATH LEARNING, LLC",2
"AUBURN CHEMICAL CO., INC.",2
"Newneural, LLC",2
"NEWMONICS, INC.",2
"Clearview AI, Inc.",2
"NEW SCALE TECHNOLOGIES, INC.",2
"Rescan, Inc.",2
"AUCTUS BLUE, LLC",2
NEW YORK UNIVERSITY,2
"Audentia, Inc.",2
Audiance,2
Rescindo Therapeutics Inc,2
"NEW WAY SOLUTIONS, LLC",2
New Wave Research,2
NEW WAVE DESIGN &amp; VERIFICATION LLC,2
"AUDIGICOMM, LLC",2
"RESCON TECHNOLOGIES, LLC",2
Visor Corporation,2
Audiometer Development Group,2
Astrotech Inc,2
NIMBUS TECHNOLOGIES,2
"New Century Pharmaceuticals, Inc.",2
Nonlinear Photonics,2
"ARVENS TECHNOLOGY, INC.",2
North Star Technology Inc,2
Arzco Medical Electronics Inc.,2
"Vivor, Llc",2
"VIVO LABORATORY, INC.",2
"Ascend Innovations,Inc",2
"Ascend Integrated Technology Solutions, INC",2
"North Point Defense, Inc.",2
"Ascenta Therapeutics, Inc.",2
North Coast Engineering,2
"Relativity Space, Inc.",2
North American Training Lodge Inc,2
"Reliability &amp; Performance Technologies, LLC",2
Asgard Microwave,2
Ashland Prototypes,2
"Reliable MicroSystems, LLC",2
"ASHTON SECURITY LABORATORIES, LLC",2
Norion Laboratories,2
"VIVAQUANT, INC.",2
Reliance Robotics Incorporated,2
NORGREN SYSTEMS,2
"VIVALOG, LLC",2
"ASILOMAR BIO, INC.",2
NORDISCH LLC,2
Norcarex Bio Corporation,2
NORAN-LAND ENGINEERING CORP.,2
"Nora, LLC",2
Nor-cal Wild Rice Inc.,2
Noqsi Aerospace ltd,2
Arva Intelligence Corp,2
Northern Cheyenne Industries,2
"ARTYX PHARMACEUTICALS, INC.",2
ARTICULATE SOFTWARE INC,2
Notos Technologies LLC,2
"REI Systems, Inc.",2
Artery Communication,2
"Not Suspicious, LLC",2
"Reia, LLC",2
NOSTIX CORPORATION,2
"Reid D, Sherri",2
"VIZCOMMUNICATION, INC.",2
"NORWELL, INC.",2
"Vixiar Medical, Inc",2
Reifenrath Consulting &amp;,2
"Articulate Biosciences, LLC",2
Northwest Technical,2
"NORTHWEST RADIOGRAPHY, P.S.",2
REJOULE INCORPORATED,2
Northwest Plant Breeding Co.,2
"Northwest Numerics and Modeling, Inc.",2
Artificial Intelligence Resear,2
Northwest Marine Technology,2
"REIFY, LLC",2
Northwest Family &amp; School Con,2
"Reimers Systems, Inc.",2
NORTHWEST EDUCATION TRAINING/ASSESSMENT,2
Northwest Economic Associates,2
Reinholdtsen Measurement,2
"Artisight, Inc.",2
Reisz Engineers,2
Artus Therapeutics Inc.,2
Nonlinear Prediction Systems,2
NONLINEAR MATERIALS CORPORATION,2
NIMKATHANA CORP.,2
"Aspect Consultant Group, LLC",2
"Nmt Medical, Inc.",2
Assurance Technologies Inc.,2
"ASSURED BIO LABS, LLC",2
Remote Sensing Systems,2
"NL COMMUNICATIONS, INC.",2
"Remote Spectral Capture, Inc.",2
NJOY Inc.,2
NJ Computer &amp; Communications,2
"ASTALAKE BIOSYSTEMS, INC.",2
RemPhos Technologies LLC,2
"NITTANY SCIENTIFIC, INC.",2
ASTERO ERADO INC.,2
Astero Technologies LLC,2
VitaminSea LLC,2
VITAME TECHNOLOGIES INC,2
Remspec Corp,2
"VITALOG, INC.",2
Astranis Space Technologies Corp.,2
REMWELL LLC,2
Ren Corp,2
"Nirvana Technologies, Inc.",2
VITALFLO INC,2
"NIRSense, LLC",2
"Nirmidas Biotech, Inc.",2
"NIRA, Inc.",2
VITALEX BIOSCIENCES LLC,2
"Rendever, Inc.",2
"Ninoh, Inc.",2
Nine Continents Medical Inc,2
Association Management &amp; Cons.,2
NOA,2
Associated Enterprise Dvlpmnt,2
"ASSENTI, LLC",2
"NONINVASIVE TECHNOLOGIES, LLC",2
NONAGEN BIOSCIENCE CORPORATION,2
RELUME CORP.,2
"Aspero Medical, Inc.",2
NOMOS CORPORATION,2
Remat,2
"NOMADIX, LLC",2
Nomadic Technologies,2
"ReMaxCo Technologies, LLC",2
ASPIRING UNIVERSE CORPORATION,2
Noise Removal Systems,2
"ASPYRIAN THERAPEUTICS, INC.",2
Assay Designs Inc.,2
Assessment Systems Corp,2
VitaThreads LLC,2
ASSESSMENTS ILLUSTRATED,2
"Noema, Inc.",2
Nodis Corp.,2
"ViTi, Inc",2
"Node Centric Solutions, LLC",2
NODDLE LLC,2
"Remedium Technologies, Inc.",2
"NOCTURNAL PRODUCT DEVELOPMENT, LLC",2
"NOCTRIX HEALTH, INC.",2
"NOC WATCH, INC",2
"VITECH SYSTEMS, INC.",2
Remote Control Technolgy Inc.,2
"Noble Drone Services, LLC",2
Research Concepts Inc.,2
"Nevins Software, Inc.",2
Artelligence Inc.,2
Baker Cummins Pharmaceuticals,2
"Virage, Inc.",2
"Neathery Technologies, Inc.",2
"RETHINK MEDICAL, INC.",2
Virafree Corp.,2
"NE Scientific, LLC",2
NDM Labs,2
B&amp;e Engineering Inc.,2
B-k Dynamics Inc,2
"B-TECH CONSULTING, LTD",2
Nde Technology Inc,2
"B6 Sigma, Inc.",2
BABBLE TREE LLC,2
"Nbs Medical, Inc.",2
NBMI,2
Babeco,2
BABEL ANALYTICS LLC,2
Babington Engineering,2
Retrobids,2
"VinSense, LLC ",2
"Navillum Nanotechnologies, LLC",2
"Bacus Laboratories, Inc.",2
Vinci Technology Corporation,2
Reuter-stokes Inc.,2
Bai,2
NATURE&#039;S SECRET SOLUTIONS INC,2
"Villanueva, Alexis A",2
"REVEAL BIOSCIENCES, INC.",2
"NATURAPATITES COMPANY, INC.",2
"REVEAL DESIGN AUTOMATION, INC.",2
"Azurea, Inc.",2
"AZTECH ENGINEERING, LLC",2
"Azimuth1, LLC",2
"REST TECHNOLOGIES, INC.",2
NeoVaxSyn Inc,2
RESPECT NETWORK CORPORATION,2
"Viromed Laboratorytories, I",2
Virolac Industries,2
"NeoStem, Inc.",2
"RESPIRATORY RESEARCH, INC.",2
"Axle Box Innovations, LLC",2
"Neomorphic Software, Inc.",2
"VIRMATICS, LLC",2
NeoGenesis Technologies LLC,2
Axonova Medical LLC,2
"NEOFLUIDICS, LLC",2
"AXXESS UNLIMITED, LLC",2
Axxon Voice Products,2
Nelson Information Systems,2
"Axys Pharmaceuticals, Inc.",2
"NEOCYTEX BIOPHARMA, INC.",2
Neocortek,2
AYT Corporation,2
Virginia nanoTech LLC,2
"RESTORATION GENETICS, INC.",2
Restoration Technologies LLC,2
"RESTORE MEDICAL, INC.",2
"Viresco Energy, LLC",2
Nemalife Inc.,2
RESTOREAR DEVICES LLC,2
"Virent Energy Systems, Llc",2
"RESUSITECH, INC.",2
Viking Energy Corp.,2
"Baker Street Scientific, INC",2
"Axiom xCell, Inc.",2
Bakman Technologies LLC,2
Nanowise LLC,2
"Nanowatt Design, Inc ",2
Barringer Patents Inc.,2
"NanoVoltaics, Inc.",2
"NanoVMs, Inc.",2
"NANOVISION TECHNOLOGIES, INC.",2
"BarSiC Semiconductors, LLC",2
VIELE EXPLORATORY SUSTAINABLE SOLUTIONS LLC,2
Bartz Technology Co,2
"Nanotrope, Inc.",2
"Baseconnect, LLC",2
"Nanotronics, Inc.",2
Basepair Inc,2
Nanotok LLC,2
Basic Bio Systems Inc,2
Video Semantics LLC,2
VIDEO DISPLAY CORP. DBA VDC DISPLAY SYSTEMS,2
Rf Environmental Sys Inc.,2
"Battery Technology Center,",2
Battle Born Supply Co.,2
"BATTLEFIELD TELECOMMUNICATIONS SYSTEMS, LLC",2
"NANOSPERSE, LLC",2
Batzer Vacuum Technolgy Assoc,2
Vidcode Inc.,2
"VIDATAK, LLC ",2
"NanoSoft, LLC",2
"RF Pixels, Inc.",2
"Bazze &amp; Company, LLC",2
"BB MEDICAL SURGICAL, INC.",2
"Barrier Group, Llc, The",2
NANTENNA LLC,2
Barrier Free Resources,2
"NATIONAL REHABILITATION SERVICES,INC-NRS",2
"REVEAL TECHNOLOGIES GROUP, INC.",2
"BALANCE THERAPEUTICS, INC.",2
BalanceSense LLC,2
Natural Fibers Corp.,2
Ball System Engineering,2
"Ballast Energy, Inc.",2
Natra Cure,2
NATIVUS INC,2
Bam World Markets Inc.,2
Bambu Vault LLC,2
Bandwidth10 inc,2
Banerjee Assoc,2
"Revibro Optics, L.L.C.",2
"Revise, Inc.",2
"REWIRE NEUROSCIENCE, LLC",2
"National Hybrid, inc.",2
"BAONANO, LLC",2
National Council On Aging,2
"Nathan Kunes, Inc",2
"Natel Energy, Inc.",2
"Viewpoint Therapeutics, Inc.",2
"REVOLUTION RESEARCH, INC.",2
"BAROBO, INC.",2
View Update Media LLC,2
NASCENT DEVICES INC.,2
Barrett Aerospace Tech,2
Naprotech Inc,2
Barrier Free Environments Inc,2
"RESPEC Company, LLC",2
Axiom Corp.,2
Vision Research Systems,2
"Virtual Worlds, Inc.",2
Neurophysics Research Associat,2
Neurophysics Corporation,2
"Automotive Resources, Inc.",2
"Autonomic Materials, Inc.",2
"NEURONETRIX, INC.",2
"Autonomous Exploration, Inc.",2
"NEURON THERAPEUTICS, INC.",2
NEUROMUSCULAR DYNAMICS LLC,2
"Autonomous Therapeutics, Inc.",2
Autoscope Corp.,2
Viscotek Corp.,2
Auxon Corporation,2
Research Triangle,2
"Neurome, Inc.",2
Neuromatters LLC,2
"AVAcore Technologies, Inc.",2
"Researh Medical, Inc.",2
"Neurologic Solutions, Inc.",2
VIRXSYS CORPORATION,2
"AVALANCHE BIOTECHNOLOGIES, INC.",2
"Avalence, Llc",2
Reservoir Simulation Research,2
"NEUROGENETIC PHARMACEUTICALS, INC.",2
"NEUROGAMI MEDICAL, INC.",2
"Avanti Tech, LLC",2
NEUROENE THERAPEUTICS INC,2
"NEUROENABLING TECHNOLOGIES, INC",2
"NeuroEM Therapeutics, Inc.",2
"AVANZA TECHNOLOGIES, INC.",2
Research Solutions International,2
NEUROPROTECTION,2
NEUROSCIENCE RESEARCH,2
"Automated Cell Technology,",2
Nevada Engineering &amp; Tech Corp,2
"Vision Point Systems, Inc.",2
"VISION OPTIMIZATION, LLC",2
AUSTIN GEOTECH SERVICES INC,2
AUSTIN RESEARCH ASSOCIATES,2
"AUTHENTECHNOLOGIES, LLC",2
"NEUTROLIS, INC.",2
"Neutroelectric, LLC",2
Autodesk Inc.,2
"Autoflex, Inc.",2
Research Dimensions Inc,2
"Neurovation Labs, Inc.",2
"AUTOMATE SCIENTIFIC, INC.",2
"Automated Controversy Detection, Inc.",2
Visible Tech-knowledgy,2
"NeuroTinker, LLC",2
"Visigen Biotechnologies, Inc.",2
"NEUROTHERANOSTICS, INC.",2
"NEUROTEZ, INC.",2
Automated Instruments,2
"AUTOMATED MEDICAL DIAGNOSTICS, LLC",2
"Neurotargeting, LLC",2
NEUROTARGETING SYSTEMS,2
NEUROSYSTEC CORPORATION,2
"NEUROSTRUCTURAL ANALYSIS, LTD",2
Automation Technology Corp.,2
NEUROSCOUTING L.L.C.,2
Automatrix Inc.,2
"NEURODON, LLC",2
"NeuroCycle Therapeutics, Inc.",2
Neptune Fluid Flow Systems LLC.,2
"VIRTUAL TECHNOLOGY SERVICES, LLC",2
AVM Biotechnology LLC,2
Resonant Sciences LLC ,2
"AVOCADO SYSTEMS, INC.",2
Avocet Medical Inc.,2
"Resonetics, Inc.",2
"NETWORK PERCEPTION, INC.",2
Network Instruments,2
Network Foundation Technologies,2
"Avolare 2, LLC",2
"NETWORK DISK, INC.",2
NETWORK BEHAVIORAL HEALTHCARE,2
"Network Analysis, Inc.",2
Virtual Collaboration Research Inc.,2
"Netpredict, Inc.",2
"Resource Enterprises, Inc",2
Resource Expanders Corp.,2
netBlazr Incorporated,2
"AVRION MOLECULAR, INC.",2
"Avrotec, Inc.",2
"Net-Scale Technologies, Inc.",2
AVX AIRCRAFT COMPANY,2
Avxm Partnership,2
NET EXCHANGE,2
NESTLERODE ENGINEERING,2
"Aware Vehicles, Inc.",2
"Awayr, Inc",2
"NERVIVE, INC.",2
"VIRTA LABORATORIES, INC.",2
Axellio Inc.,2
AVL TECHNOLOGIES INC,2
RESONANT LINK INC,2
"Avium, LLC",2
AVIDCOR INC.,2
VIRTUAL TECHNOLOGY LLC,2
"AVEOX, INC.",2
"Avery Therapeutics, Inc",2
AVEXEGEN THERAPEUTICS INC.,2
"Neurobiological Technologies,",2
"Aviana Molecular Technologies, LLC",2
Neurobehavioral And,2
NEUROANALYTICS CORPORATION,2
NEURO10-9 PHARMA INC,2
Aviation Research Assocs/brook,2
Neuro Logic Systems,2
VIRTUAL INSTRUMENTATION EFFECTS,2
"Avid Therapeutics, Inc.",2
NeuraMedica Inc.,2
"NEUPHARMA, INC.",2
"AVION, INC.",2
Virtual Image Laboratorys Inc.,2
"Neuralexo, LLC ",2
"NEURALA, INC.",2
"Avionics Unlimited, Inc.",2
"AVIOR, INC.",2
"Neural Optimization Applied Hydrology, LLC",2
"AVIR, L.L.C.",2
Neural Dynamics Technologies LLC,2
Avirotech Inc.,2
"Virtual Globe, Inc. (Rockwise)",2
"AVISI TECHNOLOGIES, LLC",2
"Avitus Orthopaedics, Inc.",2
"Notus Laboratories, Inc.",2
Artel Inc.,2
WetWare BioSystems LLC,2
"APPLIED BIOSENSORS, LLC ",2
Onef Inc.,2
"ONEBREATH, INC. ",2
"WAVERLEY LABS, L.L.C.",2
RASHMIVU LLC,2
"WAVEPOINT RESEARCH, INC.",2
"APOLLO FUSION, INC.",2
Ratel-medical Imaging Labs.,2
"ApolloDx , LLC",2
WAVEFRONT TECHNOLOGY INC,2
app2you,2
Appa Technology Initiatives,2
APPAREO SYSTEMS LLC,2
"ONCOTIDE PHARMACEUTICALS, INC.",2
"Rational CyPhy, Inc",2
"Appcom, Inc.",2
"Ratrix Technologies, LLC",2
"Oncosynergy, Inc.",2
"Appl Geodynamics, Inc",2
"Waukesha Foundry, Inc.",2
Waugh Controls Corp.,2
"RavenOps, Inc.",2
"Waubik, Inc.",2
"Onconano Medicine, Inc.",2
APPLICATIONS TECHNOLOGIES CO.LLC,2
"Oncology Laboratorytory, In",2
"Applications Technology (Apptek), LLC",2
Wattre Inc. ,2
Applied Analytic Research,2
"Applied Analytics, Inc.",2
"Ras Labs, Inc.",2
"ONESKY SYSTEMS, INC.",2
"APOGEE ENGINEERING, INC.",2
"Apex Bait Technologies, Inc.",2
"OPENHELIX, LLC.",2
Openbeds Inc.,2
Open Space,2
"RAPIDFORT, INC",2
Apama Medical,2
"WAYBETTER, INC",2
"OPAP, INC.",2
"APERIO TECHNOLOGIES, INC.",2
"APERIOMICS, INC.",2
"Wavix, Inc.",2
"Waviks, Inc.",2
WAVi Co.,2
Ontrack Inc.,2
"APEX DX, LLC",2
Onexio Biosystems LLC,2
"Apex Systems, Inc.",2
"APEX Therapeuitcs, Inc.",2
Ontek Corp.,2
Ontash &amp; Ermac Inc,2
Apiq Semiconductor LLC,2
Rare Resource Recycling Inc.,2
"ONQ TECHNOLOGY, INC.",2
APJET INC,2
"APK ADVANCED MEDICAL TECHNOLOGIES, INC.",2
Onocor LLC,2
OnLume Inc.,2
ONLINE ALCHEMY,2
"APOCELL, INC.",2
APPLIED ASTRONAUTICS CORP.,2
"ONBOARD DATA, INC.",2
"RAPID PATHOGEN SCREENING, INC.",2
"Raymond &amp; Lae Engineering,",2
Applied Mechanics Inc,2
"Omicron Technologies, Inc.",2
Applied Medical Technology Inc,2
"Omelas, Inc.",2
"Washburn Therapeutics, Inc.",2
RD RESEARCH TECHNOLOGY USA LLC,2
Applied Nanofluorescence LLC,2
"Applied Nanostructures, Inc.",2
"Warrick &amp; Assoc., Inc.",2
WARREN STRESS MANAGEMENT,2
Omega Optical Incorporated,2
"Applied Parallel Research,",2
RDMChem LLC,2
Applied Phytologics Inc,2
"WARNER, CHARLES T",2
"Applied Plastics Technology, Inc.",2
"Applied Processes, Inc.",2
WAR ON THE ROCKS MEDIA LLC,2
REACH BIONICS,2
APPLIED QUANTUM MEDICAL CORPORATION,2
"Oligotrail, Llc",2
"Olifant Medical, Inc.",2
"OLGS, Inc.",2
APPLIED SCIENCE ASSOC.,2
Applied Science Associates. In,2
WANDR STUDIO LLC,2
"OKOS SOLUTIONS, LLC",2
"Applied Sonics, Incorporated",2
"Okeanos Technologies, LLC",2
"WASHOE SLEEP, NEURO-DEVELOP. NEURO-DIAGN",2
Waste Energy Technology,2
"Omnecoil Instruments, Inc.",2
Applied Fluid Sciences Assocs,2
Applied Coatings International,2
"On Target Laboratories, Inc.",2
"Omvax, Inc.",2
Applied Cryogenics &amp; Materials,2
"Applied Data Trends, Inc.",2
"APPLIED DECISION SCIENCE, LLC",2
"Applied DNA Sciences, Inc.",2
Omnisync Incorporated,2
OMNISPACE LLC,2
OmniScience LLC,2
"APPLIED ENGINEERING CONCEPTS, INCORPORATED",2
Water Reuse Technology,2
"RAZOR TECHNOLOGIES, INC.",2
OMNIGREEN RENEWABLES,2
"Omnet, Inc.",2
RBC Signals LLC,2
"OmniCyte, LLC",2
"APPLIED GENE TECHNOLOGIES, INC.",2
Omnicon,2
Rbr@vision,2
Omni Tech International Ltd,2
WASTE2WATERGY LLC,2
"APPLIED INTEGRIN SCIENCES, INC.",2
Applied Interactive Tech,2
Omni Dimensional Networks,2
Applied Inventions Corp.,2
"APPLIED KNOWLEDGE SCIENCES, INC.",2
Applied Language Technologies,2
"OpenLattice, Inc.",2
Rapid Imaging Technologies LLC,2
Waltz Networks Inc,2
Ralph B. Fiorito Company,2
Westech Research &amp; Development,2
ORALHEALTH CORPORATION,2
"AMPX Technologies, Inc.",2
Amriton LLC,2
Amron Management Consultant,2
AMSEL MEDICAL CORPORATION,2
Amseta Corporation,2
Westchester Distribution,2
"Opus KSD, Inc.",2
"ANABUS, INC.",2
"RAINMAKER SOLUTIONS, INC.",2
Anacapa Sciences,2
ANAEROBE SYSTEMS INC,2
"Analex Space Systems, Inc.",2
WEST COAST INDUSTRIES,2
Analog/digital Integrated,2
Analtom Inc,2
"Analysis and Applications Associates, Inc.",2
"OPTOLOCITY, INC.",2
"Optoelectronics Systems Consulting, Inc",2
Optoelectronic Nanodevices LLC,2
"ANALYTIC FOCUS, LLC",2
"Rallypoint Networks, Inc.",2
Opto-line Associates Inc.,2
"Analytical Designs, Inc.",2
Wels Research Corp.,2
"RALLYPOINT, INC.",2
"Optix, Inc.",2
"Optivolt Labs, Inc.",2
Western Ag Research,2
Rai Research Corp.,2
"WESTERN DATACOM CO., INC.",2
RADMET LLC,2
ORGANICNANO INC,2
"Organicid, Inc.",2
Organic Robotics Corporation,2
"ORGAN SOLUTIONS, LLC",2
"American Ult Cryogenics, LLC",2
"Amerind, Inc.",2
Westmoreland Advanced Materials,2
Oregon Laser Consultants,2
"OREGON IRON WORKS, INC.",2
"Westlight AI , INC.",2
Ami Consultants,2
"Amida Technology Solutions, Inc.",2
"ORCHID BIOSCIENCES, INC.",2
Orbitial Systems Ltd,2
RAFT PHARMACEUTICALS LLC,2
"ORBITAL TRANSPORTS, LLC",2
Western Research Corpon,2
"Amjet Turbine Systems, LLC",2
"Orbital Sidekick, Inc.",2
Amorphic Tech Ltd,2
RADOPTICS LLC,2
Radsar Group,2
"Orbit, Inc.",2
Western Oncolytics Ltd,2
RADTRAN LLC,2
Ampcera Inc.,2
Western Filament Inc.,2
Ampex Data Systems,2
"WELLSPRING BIOSCIENCES, LLC",2
"Anametric, Inc.",2
"ANVIL INFORMATICS, INC.",2
AnCatt Inc.,2
"Optical Finesse, LLC",2
Websec Corp,2
WebScalers,2
"ANSA BIOTECHNOLOGIES, INC.",2
Ansera Analytics,2
"Weblib, Llc",2
Antaire Corp,2
ANTAKAMATICS INC,2
Opti-MS Corporation,2
"ANTECH SYSTEMS, INC.",2
WEB SENSING LLC,2
"Optex Ophthalmologices, Inc.",2
Antek Peripherals Inc.,2
Web Research Company,2
"OPTEMAX, LLC",2
OPTEMA Development Corporation,2
"OPTELLIGENT, LLC",2
OPTELLIGENCE LLC,2
Optel Systems/optel,2
Weav3d Inc.,2
Ransom Hill Bioscience,2
Optagon Systems Inc.,2
WEATHER GAGE TECHNOLOGIES LLC,2
RAPID FLOW TECHNOLOGIES,2
"OPHIREX, INC.",2
OPHILLIA HOLDINGS INC,2
ANTIRADICAL THERAPEUTICS LLC,2
"OPHIDIA PRODUCTS, INC.",2
ANVIL BIOSCIENCES LLC,2
"Annovis Bio, Inc.",2
"Annias Immunotherapeutics, Inc.",2
"Annexon, Inc.",2
"Anelleo, Inc.",2
"Ancera, Inc.",2
"WellSIM Biomedical Technologies, Inc.",2
Anchor Technology Inc,2
Optimum Structural Design Inc.,2
