Subtopics_name,2022-focus area and code,2021-focus area and code,2020-focus area and code,2019-focus area and code,2018-focus area and code,2017-focus area and code,2016-focus area and code,2015-focus area and code,2014-focus area and code,2012-focus area and code,2011-focus area and code,2010-focus area and code,2009-focus area and code,2008-focus area and code,2007-focus area and code,2006-focus area and code,2005-focus area and code,2004-focus area and code
Flame-Retardant Textiles for Intravehicular Activities (IVA),,Focus Area 6 Life Support and Habitation Systems; H3.07,,,,,,,,,,,,,,,,
Flexible Antennas and Electronics for L-Band Remote Sensing,,,,,,,,,,,,,,,,Topic S2 Robotic Exploration Throughout the Solar System; S2.04,,
Flight Deck Interface Technologies for NextGen,,,,,,,,,,Topic A1 Aviation Safety; A1.03,,,,,,,,
Flight Dynamics GNC Technologies and Software,,,,,,,,, and Timing; H9.04,,,,,,,,,
Flight Dynamics Software and Technologies,,,,,,,,,,,,Topic O4 Navigation; O4.03,,,,,,
Flight Dynamics Technologies and Software,,,,,,,,,,Topic H9 Space Communications and Navigation; H9.04,Topic O4 Navigation; O4.03,,Topic O4 Navigation; O4.04,,,,,
Flight Dynamics and Navigation Systems,,,,,,, and Timing; H9.03,,,,,,,,,,,
Flight Dynamics and Navigation Technologies,Focus Area 5 Communications and Navigation; H9.03,Focus Area 5 Communications and Navigation; H9.03,,,,,,,,,,,,,,,,
Flight Dynamics and Navigation Technology,,,Focus Area 5 Communications and Navigation; H9.03,Focus Area 5 Communications and Navigation; H9.03,Focus Area 5 Communications and Navigation; H9.03,Focus Area 5 Communications and Navigation; H9.03,,TA5.1 Optical Comm. And Navigation; H9.03,,,,,,,,,,
 and Crew Activities,,,,,,,,,,,,,,,,,,Topic B5 Flight Payload Technologies and Outreach; B5.02
Flight Sensors and Airborne Instruments for Flight Research,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.09,Topic A2 Vehicle Systems; A2.09
Flight Test  and Measurement Technologies,,,,,Focus Area 19 Integrated Flight Systems; A2.01,,,,,,,,,,,,,
Flight Test Techniques and Measurement Technology,,,,,,,,,,,Topic A4 Aeronautics Test Technologies; A4.02,Topic A4 Aeronautics Test Technologies; A4.02,Topic A4 Aeronautics Test Technologies; A4.02,Topic A4 Aeronautics Test Technologies; A4.02,,,,
Flight Test and Measurement Technologies,Focus Area 19 Integrated Flight Systems; A2.01,Focus Area 19 Integrated Flight Systems; A2.01,Focus Area 19 Integrated Flight Systems; A2.01,Focus Area 19 Integrated Flight Systems; A2.01,,,,,,,,,,,,,,
Flight Test and Measurements Technologies,,,,,,Focus Area 19 Integrated Flight Systems; A2.01,TA12.5 Cross-Cutting; A2.01,TA13.3 Technologies to Increase Reliability and Mission Availability; A2.01,,,,,,,,,,
Flight and Propulsion Control and Dynamics,,,,,,,,,,,Topic A2 Fundamental Aeronautics; A2.07,Topic A2 Fundamental Aeronautics; A2.07,Topic A2 Fundamental Aeronautics; A2.07,Topic A2 Fundamental Aeronautics; A2.07,Topic A2 Fundamental Aeronautics; A2.07,,,
Food Access  Beyond Low Earth Orbit,,,,,,,,,,,,,,,,Topic X12 Space Human Factors and Food Systems; X12.01,,
Food and Galley,,,,,,,,,,,,,,,,,,Topic B3 Biomedical and Human Support Research; B3.04
Fuel Cell Technologies for Aircraft Propulsion & Power,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.02,
Fuel Cells and Electrolyzers,,,,,,,,,,Topic H8 High Efficiency Space Power Systems; H8.01,Topic X8 High-Efficiency Space Power Systems; X8.01,,,,,,,
Fuel Cells and Electrolyzers for Space Applications,,,,,,,,,,,,Topic X8 High-Efficiency Space Power Systems; X8.01,,,,,,
Fuel Cells for Surface Systems,,,,,,,,,,,,,Topic X7 Energy Generation and Storage; X7.03,Topic X6 Energy Generation and Storage; X6.01,Topic X8 Energy Generation and Storage; X8.01,,,
Full Data Coherency Systems for Engineering Systems Modeling and Simulation,,,,,,,,,,,,,,,,Topic X1 Systems Analysis and Integration; X1.01,,
 and Acoustics Investigations,,Focus Area 18 Air Vehicle Technology; T15.04,,,,,,,,,,,,,,,,
Future Aviation Systems Safety,Focus Area 20 Airspace Operations and Safety; A3.03,Focus Area 20 Airspace Operations and Safety; A3.03,Focus Area 20 Airspace Operations and Safety; A3.03,Focus Area 20 Airspace Operations and Safety; A3.03,Focus Area 20 Airspace Operations and Safety; A3.03,Focus Area 20 Airspace Operations and Safety; A3.03,TA15.1 Additional Subtopics; A3.03,TA15.1 Additional Subtopics; A3.03,,,,,,,,,,
Game Changing Technologies,,,,,,,,,,Topic H9 Space Communications and Navigation; H9.05,Topic O1 Space Communications; O1.03,Topic O1 Space Communications; O1.03,,,,,,
 and Solid Processing to Produce Oxygen and Fuels from In-Situ Resources,,,,,,,,,,,,Topic X1 In Situ Resource Utilization; X1.02,,,,,,
Geospatial Data Analysis Processing and Visualization Technologies,,,,,,,,,,,,,,,,,Topic S7 Earth-Sun System Data Applications; S7.01,Topic E3 Advanced Information Systems Technology For Earth Science; E3.03
Gravitational Effects on Biotechnology,,,,,,,,,,,,,,,,,,Topic B1 Cross-Disciplinary Physical Sciences; B1.02
Ground Processing Optimization and Technology Infusion,,,,,,,,,,Topic H10 Ground Processing and ISS Utilization; H10.01,,,,,,,,
Ground Test Facility Instrumentation,,,,,,,,,,,,,,Topic O2 Space Transportation; O2.02,,,,
Ground Test Facility Technologies,,,,,,,,,,,,,Topic O2 Space Transportation; O2.02,,,,,
Ground Test Techniques and Measurement Technologies,,,,,,,,,TA15.1 Additional Subtopics; A4.01,,,,,,,,,
Ground Test Techniques and Measurement Technology,,,,,,,,,,,Topic A4 Aeronautics Test Technologies; A4.01,Topic A4 Aeronautics Test Technologies; A4.01,Topic A4 Aeronautics Test Technologies; A4.01,Topic A4 Aeronautics Test Technologies; A4.01,,,,
Ground Testing and Measurement Technologies,,,,,,,,TA15.1 Additional Subtopics; A1.08,,,,,,,,,,
Ground and Flight Test Techniques and Measurement Technologies,,,,,,,,,,Topic A3 Air Vehicle Technologies; A3.09,,,,,,,,
 Navigation and Control,,,,Focus Area 5 Communications and Navigation; S3.04,Focus Area 5 Communications and Navigation; S3.04,Focus Area 5 Communications and Navigation; S3.04,TA8.2 Observations; S3.05, and Timing; S3.05, and Timing; S3.05,,Topic S3 Spacecraft and Platform Subsystems; S3.06,Topic S3 Spacecraft and Platform Subsystems; S3.06,Topic S3 Spacecraft and Platform Subsystems; S3.06,,,,Topic S8 Science Spacecraft Systems Technology; S8.01,Topic E2 Platform Technologies for Earth Science; E2.01
 Navigation and Control Beyond Low Earth Orbit (LEO),,,,,,,,,,,,,,,,Topic S7 Science Spacecraft Systems Technology; S7.01,,
 and Control,Focus Area 5 Communications and Navigation; S16.03,Focus Area 5 Communications and Navigation; S3.04,Focus Area 5 Communications and Navigation; S3.04,,,,,,,,,,,,,,,
Habitat Outfitting,,,,,,Focus Area 6 Life Support and Habitation Systems; H3.01,,,,,,,,,,,,
Habitation Systems,,,,,,,,,,,,,,,,,Topic X12 Life Support and Habitation; X12.06,
Healing Material System Concepts for IVHM,,,,,,,,,,,,Topic A1 Aviation Safety; A1.13,Topic A1 Aviation Safety; A1.13,,,,,
Health Preservation in the Space Environment,,,,,,,,,,,,,,,Topic X12 Exploration Crew Health Capabilities; X12.01,Topic X14 Exploration Medical Capabilities; X14.01,,
Heat Rejection Technologies for Nuclear Systems,,,,,,,,,,,,,,,,,Topic X10 Prometheus Technologies; X10.04,
High Contrast Astrophysical Imaging,,,,,,,,,,,,,,,,,Topic S3 Astronomical Observatories to Seek Earth-like Extrasolar Planets and Environments; S3.02,Topic S3 Astronomical Search for Origins; S3.02
High Performance Space Computing Technology,,,Focus Area 11 Spacecraft and Platform Subsystems; Z2.02,Focus Area 11 Spacecraft and Platform Subsystems; Z6.01,,Focus Area 11 Spacecraft and Platform Subsystems; Z6.01,,,,,,,,,,,,
High Power Arrays for Solar Electric Propulsion,,,,, Energy and Storage; Z1.01,,,,,,,,,,,,,
High Power Electric Propulsion,,,,,,,TA2.2 Non-Chemical Propulsion; H2.03,TA2.2 Non-Chemical Propulsion; H2.03,TA2.2 Non-Chemical Propulsion; H2.01,,,,,,,,,
High Power Electric Propulsion Systems,,,,,,,,,,Topic E1 Human Exploration and Operations Mission Directorate Select Subtopics; E1.01,,,,,,,,
 High Voltage Electronics,,,,,,Focus Area 2 Power Energy and Storage; Z1.01,,,,,,,,,,,,
High Power/Voltage Electronics,,,,,,,TA3.3 Power Management and Distribution; Z1.01,,,,,,,,,,,
High Thrust In-Space Propulsion,,,,,,,,,,,Topic X2 Propulsion; X2.02,,,,,,,
 Low Jitter Reaction Wheels or Control Moment Gyros,,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.05,,,,,
High-Performance Space Computing Technology,Focus Area 11 Spacecraft and Platform Subsystems; Z2.02,Focus Area 11 Spacecraft and Platform Subsystems; Z2.02,,,,,,,,,,,,,,,,
High-Power Electric Propulsion,,,,,,,,,,,,,,,,,Topic X7 High Energy Space Systems (HESS); X7.03,
Hot Structure Entry Control Surface Technology,,,,,, and Landing Systems; H5.02,,,,,,,,,,,,
Hot Structure Technology for Aerospace Vehicles, and Landing Systems; H5.02, and Landing Systems; H5.02, and Landing Systems; H5.02, and Landing Systems; H5.02,,,,,,,,,,,,,,
Hot Structure Technology for Atmospheric Entry Vehicles,,,,, Descent and Landing Systems; H5.02,,,,,,,,,,,,,
Hot Structures,,,,,,,,,TA12.1 Materials; H5.04,,,,,,,,,
Human Accommodations,Focus Area 6 Life Support and Habitation Systems; H3.09,,,,,,,,,,,,,,,,,
Human Accommodations and Habitation Systems for Future Exploration Missions,,,,,,,,,TA6.1 Environmental Control Life Support & Habitation Systems; H3.03,,,,,,,,,
Human Accommodations and Interfaces with Spacecraft Life Support,,,,,,,,,,,,Topic X3 Life Support and Habitation Systems; X3.02,,,,,,
Human Adaptation and Countermeasures,,,,,,,,,,,,,,,,,,Topic B3 Biomedical and Human Support Research; B3.03
Human Autonomy Interaction,,,,,,,,,,,,,,,,, Intelligent Systems and Modeling; X5.02,
Human Health Countermeasures,,,,,,,,,,,,,,,,,Topic X11 Human Systems Research and Technology; X11.02,
Human Interface Systems and Technologies,,,,,,,,,,,,,Topic O3 Processing and Operations; O3.01,,,,,
Human Interfaces for Space Systems,Focus Area 11 Spacecraft and Platform Subsystems; Z2.03,,,,,,,,,,,,,,,,,
Human Robotic Systems - Human Robot Interfaces,,,,,,,,,,,Topic X7 Human-Robotic Systems; X7.01,,,,,,,
 and Human System Interaction,,,,,,,,TA4.4 Human-Systems Integration; H6.01,,,,,,,,,,
Human Systems Interaction,,,,,,,,,,,,,,,Topic X7 Lunar Operations; X7.02,,,
Human interface systems and technologies for spacesuits,,,,,,,,,,,,,,Topic O3 Processing and Operations; O3.02,,,,
Human-Robotic Systems - Manipulation Subsystem,,,,,,,,,,Topic H6 Autonomous and Robotic Systems; H6.03,,,,,,,,
Human-Robotic Systems - Manipulation Subsystem and Human-System Interaction,,,,,,,,,TA4.3 Manipulation; H20.01,,,,,,,,,
Human-Robotic Systems - Mobility Subsystems,,,,,,,,,,,Topic X7 Human-Robotic Systems; X7.02,,,,,,,
Human-System Interaction,,,,,,,,,,,,,,,,Topic X7 Operations of Exploration Equipment; X7.02,,
Hydrogen Fuel Systems and Components for Aircraft Applications,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.03,
Hypersonic Seal Technology Development,,,,,Focus Area 18 Air Vehicle Technology; A1.10,,,,,,,,,,,,,
Hypersonic Technology - Innovative Manufacturing for High Temperature Structures,,,,Focus Area 18 Air Vehicle Technology; A1.10,,,,,,,,,,,,,,
Hypersonic Technology-Improvement in Solar Operability Predictions using Computational Algorithms,,,,,,Focus Area 18 Air Vehicle Technology; A1.10,,,,,,,,,,,,
Hypersonic/High Speed Technology - Seals and Thermal Barriers,,,Focus Area 18 Air Vehicle Technology; A1.10,,,,,,,,,,,,,,,
ISS Demonstration & Development of Improved Exploration Technologies,,,,,,,,,,Topic H10 Ground Processing and ISS Utilization; H10.02,Topic O3 Processing and Operations; O3.03,,,,,,,
ISS Life Extension and Operational Enhancements,,,,,,,,,,,,Topic O3 Processing and Operations; O3.03,,,,,,
ISS Utilization,,,,,,,,,,,Topic O3 Processing and Operations; O3.02,Topic O3 Processing and Operations; O3.02,,,,,,
ISS Utilization and Microgravity Research,,,,,Focus Area 22 International Space Station (ISS) Utilization; H8.01,Focus Area 22 International Space Station (ISS) Utilization; H8.01,,,,,,,,,,,,
Identification of Sequences of Atypical Occurrences in Massive Heterogeneous Datasets Representing the Operation of a System of Systems,,,,,,,,,TA11.4 Information Processing; A1.05,,,,,,,,,
Improved Operations via Interface Design,,,,,,Focus Area 16 Ground & Launch Processing; H10.02,,,,,,,,,,,,
Improved Test and Launch Operations via Interface Design,,,,,,,TA13.3 Technologies to Increase Reliability and Mission Availability; H10.01,,,,,,,,,,,
In Flight Diagnosis and Treatment,,,,,,,,,,,,,,Topic X10 Exploration Medical Capability; X10.01,,,,
 and Submersible Instruments for Earth Science,,,,,,,,,,, Detectors and Instruments; S1.08, Detectors and Instruments; S1.08, Detectors and Instruments; S1.08, Detectors and Instruments; S1.08,,,,
In Situ Instruments/Technologies and Plume Sampling Systems for Ocean Worlds Life Detection, and Instruments; S13.06, and Instruments; S1.11, Detectors and Instruments; S1.11,,,,,,,,,,,,,,,
In Situ Instruments/Technologies and Sample Processing for Ocean Worlds Life Detection,,,,, Detectors and Instruments; S1.11,,,,,,,,,,,,,
In Situ Instruments/Technologies for Lunar and Planetary Science, and Instruments; S13.05, and Instruments; S1.07, Detectors and Instruments; S1.07, Detectors and Instruments; S1.07,,,,,,,,,,,,,,
In Situ Instruments/Technologies for Ocean Worlds Life Detection,,,, Detectors and Instruments; S1.11,, Detectors and Instruments; S1.11,,,,,,,,,,,,
In Situ Instruments/Technologies for Planetary Science,,,,, Detectors and Instruments; S1.07, Detectors and Instruments; S1.07,,,,,,,,,,,,
In Situ Planetary Atmospheric Measurement Technologies,,,,,,,,,,,,,,,,Topic S2 Robotic Exploration Throughout the Solar System; S2.02,,
In Situ Sensors,,,,,,,,,,,,,,,,,,Topic E1 Instruments for Earth Science Measurements; E1.03
In Situ Sensors and Sensor Systems for Lunar and Planetary Science,,,,,,,TA8.1 Science Instruments; S1.06,TA8.1 Science Instruments; S1.06,TA8.1 Science Instruments; S1.06, Detectors and Instruments; S1.07, Detectors and Instruments; S1.09,,,,,,,
In Situ Sensors and Sensor Systems for Planetary  Science,,,,,,,,,,,,,,, and Instruments; S1.09,,,
In Situ Sensors and Sensor Systems for Planetary Science,,,,,,,,,,,, Detectors and Instruments; S1.09, Detectors and Instruments; S1.09, Detectors and Instruments; S1.09,,,,
In situ Resource Utilization - Production of Feedstock for Manufacturing and Construction,,,,,,,TA7.1 In-Situ Resource Utilization; H1.01,,,,,,,,,,,
In-Flight Biological Sample Analysis,,,,,,,,,,Topic H12 Human Research and Health Maintenance; H12.05,,,,,,,,
 and Processing,,,,,,,,,,,Topic X1 In Situ Resource Utilization; X1.01,,,,,,,
In-Situ Resource Utilization,,,,,,,,,,Topic H1 In-Situ Resource Utilization; H1.01,,,,,,,,
In-Situ Resource Utilization & Space Manufacturing,,,,,,,,,,,,,,,,,Topic X9 Lunar and Planetary Surface Operations; X9.01,
In-Situ Resource Utilization - Mars Atmosphere/Gas Chemical Processing,,,,,,,,,TA7.1 In-Situ Resource Utilization; H1.01,,,,,,,,,
In-Situ Sensing of Additive Manufacturing Processes for Safety-Critical Aerospace Applications,,,,,,Focus Area 14 In-Space and Advanced Manufacturing; Z3.01,,,,,,,,,,,,
In-Space Chemical Propulsion,,,,,,,,TA2.1 Chemical Propulsion; H2.01,TA2.1 Chemical Propulsion; H2.02,,,,,,,,,
In-Space Computing and Reconfigurable Electronics,,,,,,,,,,,,,,,,, Electronics and Imaging (CCEI); X1.01,
In-Space Electric Propulsion Component Technologies,,,,Focus Area 1 In-Space Propulsion Technologies; Z10.02,,,,,,,,,,,,,,
In-Space Manufacturing of Electronics and Avionics,,,,,,Focus Area 14 In-Space and Advanced Manufacturing; H7.01,,,,,,,,,,,,
In-Space Manufacturing of Precision Parts,,,,,,Focus Area 14 In-Space and Advanced Manufacturing; H7.02,,,,,,,,,,,,
In-Space Propulsion Systems,,,,,,,,,,Topic H2 Space Transportation; H2.02,,,,,,,,
In-Space Structural Assembly,,,,,,,TA12.2 Structures; H5.04,,,,,,,,,,,
In-Space Structural Assembly and Construction,,,,,,Focus Area 15 Lightweight Materials Structures and Assembly / Construction; Z4.01,,,,,,,,,,,,
In-Space Sub-Modular Assembly,,,, and Assembly; Z4.02,Focus Area 15 Lightweight Materials Structures and Assembly / Construction; Z4.02,,,,,,,,,,,,,
In-helmet Speech Audio Systems and Technologies,,,,,,,,,,,,,,,Topic O3 Processing and Operations; O3.02,,,
In-situ Curing of Thermoset Resin Mixtures,,,,Focus Area 14 In-Space and Advanced Manufacturing; T12.05,,,,,,,,,,,,,,
In-situ Sensors and Sensor Systems for Earth Science,,,,, Detectors and Instruments; S1.08,,,,,,,,,,,,,
In-situ monitoring and development of in-process quality control for in-space manufacturing (ISM) applications,,,,,Focus Area 14 In-Space and Advanced Manufacturing; H7.02,,,,,,,,,,,,,
Increasing Autonomy in the National Airspace System (NAS),Focus Area 20 Airspace Operations and Safety; A3.02,Focus Area 20 Airspace Operations and Safety; A3.02,Focus Area 20 Airspace Operations and Safety; A3.02,Focus Area 20 Airspace Operations and Safety; A3.02,,,,,,,,,,,,,,
Increasing Autonomy in the National Airspace Systems (NAS) (not vehicles),,,,,Focus Area 20 Airspace Operations and Safety; A3.02,,,,,,,,,,,,,
Inflatable Softgoods for Next Generation Habitation Systems, and Assembly; H5.05,,,,,,,,,,,,,,,,,
Inflight Calcium Isotope Measurement Device,,,,,,,,,TA6.3 Human Health and Performance; H12.02,,,,,,,,,
Inflight Icing Hazard Mitigation Technology,,,Focus Area 18 Air Vehicle Technology; A1.09,,,,,,TA15.1 Additional Subtopics; A1.02,Topic A1 Aviation Safety; A1.02,Topic A1 Aviation Safety; A1.02,,,,,,,
Information Technologies for Intelligent and Adaptive Space Robotics,,,Focus Area 4 Robotic Systems for Space Exploration; T4.01,Focus Area 4 Robotic Systems for Space Exploration; T4.01,Focus Area 4 Robotic Systems for Space Exploration; T4.01,,,,,,,,,,,,,
Information Technology for Sun-Earth Connection Missions,,,,,,,,,,,,,,,,,,Topic S1 Sun Earth Connection; S1.05
Infrared & Sub-mm Sensors and Detectors,,,,,,,,,,,,,,,,,Topic S4 Exploration of the Universe Beyond Our Solar System; S4.01,
 and Health Management,,,,,,,,,,,,,,,,Topic X9 Propulsion and Propellant Storage; X9.02,,
 and EVA Systems,,,,,Focus Area 6 Life Support and Habitation Systems; T6.01,,,,,,,,,,,,,
Innovative Tools and Techniques Supporting the Practical Uses of Earth Science Observations,,,,,,,,,,,,,,,,,Topic S7 Earth-Sun System Data Applications; S7.02,Topic E4 Applying Earth Science Measurements; E4.01
Integrated Advanced Alert/Warning Systems for Solar Proton Events,,,,,,,,,,,Topic X11 Radiation Protection; X11.02,,,,,,,
Integrated Avionics Systems for Small Scale Remotely Operated Vechicles,,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.09,,,
Integrated Data Uncertainty Management and Representation for Trustworthy and Trusted Autonomy in Space,,Focus Area 3 Autonomous Systems for Space Exploration; T10.05,,,,,,,,,,,,,,,,
Integrated Diagnosis and Prognosis of Aircraft Anomalies,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.11,,,,
Integrated Mission Modeling for Opto-mechanical Systems,,,,,,,,,,,Topic S6 Information Technologies; S6.04,,,,,,,
Integrated Nuclear Power & Propulsion,,,,,,,,,TA2.2 Non-Chemical Propulsion; Z1.03,,,,,,,,,
Integrated Resilient Aircraft Control,,,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.02,,
Integrated Science Mission Modeling,Focus Area 13 Information Technologies for Science Data; S17.02,Focus Area 13 Information Technologies for Science Data; S5.04,Focus Area 13 Information Technologies for Science Data; S5.04,Focus Area 13 Information Technologies for Science Data; S5.04,Focus Area 13 Information Technologies for Science Data; S5.04,Focus Area 13 Information Technologies for Science Data; S5.04,TA11.2 Modeling; S5.04,TA11.2 Modeling; S5.04,TA11.2 Modeling; S5.04,Topic S5 Information Technologies; S5.04,,,,,,,,
Integrated System Health Management,,,,,,,,,,,,,,,Topic X1 Avionics and Software; X1.04,,,
Integrated System Health Management  for Flexible Exploration,,,,,,,,,,,Topic X6 Autonomous Systems and Avionics; X6.03,,,,,,,
Integrated System Health Management for Ground Operations,,,,,,,,,,,,,Topic X1 Avionics and Software; X1.04,Topic X1 Avionics and Software; X1.04,,,,
Integrated System Health Management for Sustainable Habitats,,,,,Focus Area 6 Life Support and Habitation Systems; H6.01,Focus Area 6 Life Support and Habitation Systems; H6.01,,,,,,,,,,,,
Integrated Systems Health Management,,,,,,,,,,,,,,,,Topic X2 Avionics and Software; X2.01,,
Integrated Systems Health Management for Sustainable Habitats,,,,Focus Area 3 Autonomous Systems for Space Exploration; H6.01,,,,,,,,,,,,,,
Integrated Vehicle Dynamics Modeling Methods for LOC Conditions,,,,,,,,,,,Topic A1 Aviation Safety; A1.09,,,,,,,
Integrated Vehicle Health Management,,,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.07,,
Integrating ISHM with Flight Avionics Architectures for Cyber-Physical Space Systems,,,,,,,TA4.5 Autonomy; H6.04,,,,,,,,,,,
Integration of Airframe with Distributed Electric Propulsion (DEP) System,,,Focus Area 18 Air Vehicle Technology; T15.04,,,,,,,,,,,,,,,
Intelligent Communication Systems,,,,,,Focus Area 5 Communications and Navigation; H9.02,,TA5.5 Integrated Technologies; H9.02,,,,,,,,,,
Intelligent Modular Systems,,,,,,,,,,,,,,,,,Topic X8 Advanced Space Platforms and Systems; X8.02,
Intelligent Operations Systems,,,,,,,,,,,,,,,,,Topic X6 Advanced Space Operations (ASO); X6.01,
Intelligent Sensor Systems,,Focus Area 16 Ground & Launch Processing; T13.01,Focus Area 16 Ground & Launch Processing; T13.01,Focus Area 16 Ground & Launch Processing; T13.01,Focus Area 3 Autonomous Systems for Space Exploration; T13.01,,,,,,,,,,,,,
Intelligent/Autonomous Electrical Power Systems,,,,, Energy and Storage; T3.02,,,,,,,,,,,,,
International Space Station (ISS) Demonstration and Development of Improved Exploration Technologies,,,,,,,,,TA6.1 Environmental Control Life Support & Habitation Systems; H20.02,,,,,,,,,
International Space Station (ISS) Demonstration of Improved Exploration Technologies,,,,,,,,TA6.1 Environmental Control Life Support & Habitation Systems; H14.02,,,,,,,,,,
International Space Station (ISS) Utilization,,,,,,,TA6.1 Environmental Control Life Support & Habitation Systems; H14.01,TA7.1 In-Situ Resource Utilization; H14.01,TA7.1 In-Situ Resource Utilization; H10.02,,,,,,,,,
International Space Station Utilization,,,,,,,,,,Topic E1 Human Exploration and Operations Mission Directorate Select Subtopics; E1.03,,,,,,,,
Intravehicular Robot (IVR) Technologies,Focus Area 4 Robotic Systems for Space Exploration; Z5.04,,,,,,,,,,,,,,,,,
Joining for Large-Scale Polymer Matrix Composite (PMC) Structures,,,,,,,TA12.4 Manufacturing; Z4.01,,,,,,,,,,,
Kilowatt-Class Energy Conversion for Small Fission Reactors,,,Focus Area 2 Power Energy and Storage; Z1.03,Focus Area 2 Power Energy and Storage; Z1.03,,,,,,,,,,,,,,
LOX/Methane In-Space Propulsion,,,,,,,TA2.1 Chemical Propulsion; H2.01,,,,,,,,,,,
Lab to Marketplace: Commercializing Spaceflight Biomedical and Behavioral Research Tools,,,,,,,,,,,,Topic X12 Exploration Medical Capability; X12.03,,,,,,
Laminar Flow Ground Testing,,,,,,,,,,,,Topic A5 Integrated System Research Project  (ISRP); A5.01,,,,,,
Lander Systems Technologies,,, and Landing Systems; Z7.04, and Landing Systems; Z7.04,,,,,,,,,,,,,,
Lander Systems Technology,,,,, Descent and Landing Systems; T9.01,,,,,,,,,,,,,
Landing Systems Technologies, and Landing Systems; Z7.04, and Landing Systems; Z7.04,,,,,,,,,,,,,,,,
Large Deployable Structures for Smallsats,,,,,,,TA12.2 Structures; H5.01,,,,,,,,,,,
Large-Aperture Lightweight Cryogenic Telescope Components & Systems,,,,,,,,,,,,,,,,,Topic S3 Astronomical Observatories to Seek Earth-like Extrasolar Planets and Environments; S3.04,Topic S3 Astronomical Search for Origins; S3.04
 and Manufacturing Processes,,,,,,,,TA12.1 Materials; Z2.01,,,,,,,,,,
Laser Transmitters and Receivers for Targeted Earth Science Measurements,,,,,,,,,,Topic E3 Science Mission Directorate Select Subtopics; E3.01,,,,,,,,
Launch Site Technologies,,,,,,,,,,,,,,,,,Topic X6 Advanced Space Operations (ASO); X6.03,
Launch Vehicle Propulsion and Pyrotechnic Technologies,,,,,,,,,,,,,,,Topic X9 Propulsion and Cryogenic Systems; X9.04,,,
Lidar Remote Sensing,,,,,,,,,,,,,,,,,Topic S6 Earth-Sun System Instrument and Sensor Technology; S6.02,Topic E1 Instruments for Earth Science Measurements; E1.02
Lidar Remote Sensing Technologies,,, Detectors and Instruments; S1.01, Detectors and Instruments; S1.01, Detectors and Instruments; S1.01, Detectors and Instruments; S1.01,TA8.3 Sensor Systems; S1.01,TA8.3 Sensor Systems; S1.01,TA8.3 Sensor Systems; S1.01, Detectors and Instruments; S1.01,,,,,,,,
Lidar Remote-Sensing Technologies, and Instruments; S11.01, and Instruments; S1.01,,,,,,,,,,,,,,,,
Lidar System Components,,,,,,,,,,,,,, Detectors and Instruments; S1.01, and Instruments; S1.01,,,
Lidar System Components for Sapceborne and Airborne Platforms,,,,,,,,,,,,,,,,Topic S6 Earth Science Instrument and Sensor Technology; S6.02,,
Lidar and Laser System Components,,,,,,,,,,, Detectors and Instruments; S1.01, Detectors and Instruments; S1.01, Detectors and Instruments; S1.01,,,,,
Lightweight Conformal Structures,,,, and Assembly; Z4.03,,,,,,,,,,,,,,
Lightweight Pressurized Structures Including Inflatables,,,,,,,,,,,,,,,,Topic X6 Lightweight Structures and Materials; X6.02,,
Lightweight Structures,,,,,,,,,,,,,,, Materials and Mechanisms; X6.01,,,
Liquid Cooling and Ventilation Garment Connector Upgrade and Glove Humidity Reduction,,,Focus Area 6 Life Support and Habitation Systems; H4.05,,,,,,,,,,,,,,,
Logistics Reduction,,,,,,Focus Area 6 Life Support and Habitation Systems; H3.04,,,,,,,,,,,,
Long Duration Command and Data Handling for Harsh Environments,,,,,,,,,,,,,,,,Topic S7 Science Spacecraft Systems Technology; S7.02,,
Long Duration Lunar Energy Storage and Discharge,,,,Focus Area 2 Power Energy and Storage; Z1.04,,,,,,,,,,,,,,
Long Range Optical Communications,,,,,,,,,,Topic H9 Space Communications and Navigation; H9.01,,,,,,,,
Long Range Optical Telecommunications,,,Focus Area 5 Communications and Navigation; H9.01,Focus Area 5 Communications and Navigation; H9.01,Focus Area 5 Communications and Navigation; H9.01,Focus Area 5 Communications and Navigation; H9.01,TA5.1 Optical Comm. And Navigation; H9.01,TA5.1 Optical Comm. And Navigation; H9.01,TA5.1 Optical Comm. And Navigation; H9.02,,Topic O1 Space Communications; O1.04,Topic O1 Space Communications; O1.04,Topic O1 Space Communications; O1.06,Topic O1 Space Communications; O1.06,Topic O1 Space Communications and Navigation; O1.08,Topic O1 Space Communications; O1.08,Topic S1 Robotic Exploration of the Moon and Mars; S1.03,
Long Range Space  RF Telecommunications,,,,,,,,,,,,,,Topic O1 Space Communications; O1.07,Topic O1 Space Communications and Navigation; O1.09,Topic O1 Space Communications; O1.09,,
Long Range Space RF Communications,,,,,,,,,,Topic H9 Space Communications and Navigation; H9.02,,,,,,,,
